model,features,accuracy,precision,recall,fold,dataset
LogisticRegression,glove,0.17,0.17,0.17,0,vignettes_chadwick
SVC,glove,0.06,0.06,0.06,0,vignettes_chadwick
KNeighborsClassifier,glove,0.14,0.14,0.14,1,vignettes_chadwick
GaussianNB,glove,0.07,0.07,0.07,1,vignettes_chadwick
LogisticRegression,glove,0.09,0.09,0.09,1,vignettes_chadwick
SVC,glove,0.05,0.05,0.05,1,vignettes_chadwick
KNeighborsClassifier,glove,0.14,0.14,0.14,2,vignettes_chadwick
GaussianNB,glove,0.18,0.18,0.18,2,vignettes_chadwick
LogisticRegression,glove,0.07,0.07,0.07,2,vignettes_chadwick
SVC,glove,0.06,0.06,0.06,2,vignettes_chadwick
KNeighborsClassifier,glove,0.13,0.13,0.13,3,vignettes_chadwick
GaussianNB,glove,0.17,0.17,0.17,3,vignettes_chadwick
LogisticRegression,glove,0.17,0.17,0.17,3,vignettes_chadwick
SVC,glove,0.07,0.07,0.07,3,vignettes_chadwick
KNeighborsClassifier,glove,0.11,0.11,0.11,4,vignettes_chadwick
GaussianNB,glove,0.22,0.22,0.22,4,vignettes_chadwick
LogisticRegression,glove,0.16,0.16,0.16,4,vignettes_chadwick
SVC,glove,0.1,0.1,0.1,4,vignettes_chadwick
KNeighborsClassifier,main_verb,0.22,0.22,0.22,0,vignettes_chadwick
GaussianNB,main_verb,0.22,0.22,0.22,0,vignettes_chadwick
LogisticRegression,main_verb,0.24,0.24,0.24,0,vignettes_chadwick
SVC,main_verb,0.2,0.2,0.2,0,vignettes_chadwick
KNeighborsClassifier,main_verb,0.32,0.32,0.32,1,vignettes_chadwick
GaussianNB,main_verb,0.32,0.32,0.32,1,vignettes_chadwick
LogisticRegression,main_verb,0.36,0.36,0.36,1,vignettes_chadwick
SVC,main_verb,0.35,0.35,0.35,1,vignettes_chadwick
KNeighborsClassifier,main_verb,0.31,0.31,0.31,2,vignettes_chadwick
GaussianNB,main_verb,0.26,0.26,0.26,2,vignettes_chadwick
LogisticRegression,main_verb,0.39,0.39,0.39,2,vignettes_chadwick
SVC,main_verb,0.36,0.36,0.36,2,vignettes_chadwick
KNeighborsClassifier,main_verb,0.25,0.25,0.25,3,vignettes_chadwick
GaussianNB,main_verb,0.29,0.29,0.29,3,vignettes_chadwick
LogisticRegression,main_verb,0.33,0.33,0.33,3,vignettes_chadwick
SVC,main_verb,0.28,0.28,0.28,3,vignettes_chadwick
KNeighborsClassifier,main_verb,0.2727272727272727,0.2727272727272727,0.2727272727272727,4,vignettes_chadwick
GaussianNB,main_verb,0.3434343434343434,0.3434343434343434,0.3434343434343434,4,vignettes_chadwick
LogisticRegression,main_verb,0.3939393939393939,0.3939393939393939,0.3939393939393939,4,vignettes_chadwick
SVC,main_verb,0.3434343434343434,0.3434343434343434,0.3434343434343434,4,vignettes_chadwick
KNeighborsClassifier,main_verb,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
GaussianNB,main_verb,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
LogisticRegression,main_verb,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
SVC,main_verb,0.2307692307692308,0.2307692307692308,0.2307692307692308,0,vignettes_mccurrie
KNeighborsClassifier,main_verb,0.4615384615384616,0.4615384615384616,0.4615384615384616,1,vignettes_mccurrie
GaussianNB,main_verb,0.4615384615384616,0.4615384615384616,0.4615384615384616,1,vignettes_mccurrie
LogisticRegression,main_verb,0.6153846153846154,0.6153846153846154,0.6153846153846154,1,vignettes_mccurrie
